RunScript;Config;RunId;Output;Close Public Transit;Close Workplaces;End Social Activities;End All Other Activities
snz1.sh;config_snz1.xml;snz1;output/1000-1000-1000-1000;1000;1000;1000;1000
snz2.sh;config_snz2.xml;snz2;output/1000-1000-1000-10;1000;1000;1000;10
snz3.sh;config_snz3.xml;snz3;output/1000-1000-1000-20;1000;1000;1000;20
snz4.sh;config_snz4.xml;snz4;output/1000-1000-1000-30;1000;1000;1000;30
snz5.sh;config_snz5.xml;snz5;output/1000-1000-10-1000;1000;1000;10;1000
snz6.sh;config_snz6.xml;snz6;output/1000-1000-10-10;1000;1000;10;10
snz7.sh;config_snz7.xml;snz7;output/1000-1000-10-20;1000;1000;10;20
snz8.sh;config_snz8.xml;snz8;output/1000-1000-10-30;1000;1000;10;30
snz9.sh;config_snz9.xml;snz9;output/1000-1000-20-1000;1000;1000;20;1000
snz10.sh;config_snz10.xml;snz10;output/1000-1000-20-10;1000;1000;20;10
snz11.sh;config_snz11.xml;snz11;output/1000-1000-20-20;1000;1000;20;20
snz12.sh;config_snz12.xml;snz12;output/1000-1000-20-30;1000;1000;20;30
snz13.sh;config_snz13.xml;snz13;output/1000-1000-30-1000;1000;1000;30;1000
snz14.sh;config_snz14.xml;snz14;output/1000-1000-30-10;1000;1000;30;10
snz15.sh;config_snz15.xml;snz15;output/1000-1000-30-20;1000;1000;30;20
snz16.sh;config_snz16.xml;snz16;output/1000-1000-30-30;1000;1000;30;30
snz17.sh;config_snz17.xml;snz17;output/1000-10-1000-1000;1000;10;1000;1000
snz18.sh;config_snz18.xml;snz18;output/1000-10-1000-10;1000;10;1000;10
snz19.sh;config_snz19.xml;snz19;output/1000-10-1000-20;1000;10;1000;20
snz20.sh;config_snz20.xml;snz20;output/1000-10-1000-30;1000;10;1000;30
snz21.sh;config_snz21.xml;snz21;output/1000-10-10-1000;1000;10;10;1000
snz22.sh;config_snz22.xml;snz22;output/1000-10-10-10;1000;10;10;10
snz23.sh;config_snz23.xml;snz23;output/1000-10-10-20;1000;10;10;20
snz24.sh;config_snz24.xml;snz24;output/1000-10-10-30;1000;10;10;30
snz25.sh;config_snz25.xml;snz25;output/1000-10-20-1000;1000;10;20;1000
snz26.sh;config_snz26.xml;snz26;output/1000-10-20-10;1000;10;20;10
snz27.sh;config_snz27.xml;snz27;output/1000-10-20-20;1000;10;20;20
snz28.sh;config_snz28.xml;snz28;output/1000-10-20-30;1000;10;20;30
snz29.sh;config_snz29.xml;snz29;output/1000-10-30-1000;1000;10;30;1000
snz30.sh;config_snz30.xml;snz30;output/1000-10-30-10;1000;10;30;10
snz31.sh;config_snz31.xml;snz31;output/1000-10-30-20;1000;10;30;20
snz32.sh;config_snz32.xml;snz32;output/1000-10-30-30;1000;10;30;30
snz33.sh;config_snz33.xml;snz33;output/1000-20-1000-1000;1000;20;1000;1000
snz34.sh;config_snz34.xml;snz34;output/1000-20-1000-10;1000;20;1000;10
snz35.sh;config_snz35.xml;snz35;output/1000-20-1000-20;1000;20;1000;20
snz36.sh;config_snz36.xml;snz36;output/1000-20-1000-30;1000;20;1000;30
snz37.sh;config_snz37.xml;snz37;output/1000-20-10-1000;1000;20;10;1000
snz38.sh;config_snz38.xml;snz38;output/1000-20-10-10;1000;20;10;10
snz39.sh;config_snz39.xml;snz39;output/1000-20-10-20;1000;20;10;20
snz40.sh;config_snz40.xml;snz40;output/1000-20-10-30;1000;20;10;30
snz41.sh;config_snz41.xml;snz41;output/1000-20-20-1000;1000;20;20;1000
snz42.sh;config_snz42.xml;snz42;output/1000-20-20-10;1000;20;20;10
snz43.sh;config_snz43.xml;snz43;output/1000-20-20-20;1000;20;20;20
snz44.sh;config_snz44.xml;snz44;output/1000-20-20-30;1000;20;20;30
snz45.sh;config_snz45.xml;snz45;output/1000-20-30-1000;1000;20;30;1000
snz46.sh;config_snz46.xml;snz46;output/1000-20-30-10;1000;20;30;10
snz47.sh;config_snz47.xml;snz47;output/1000-20-30-20;1000;20;30;20
snz48.sh;config_snz48.xml;snz48;output/1000-20-30-30;1000;20;30;30
snz49.sh;config_snz49.xml;snz49;output/1000-30-1000-1000;1000;30;1000;1000
snz50.sh;config_snz50.xml;snz50;output/1000-30-1000-10;1000;30;1000;10
snz51.sh;config_snz51.xml;snz51;output/1000-30-1000-20;1000;30;1000;20
snz52.sh;config_snz52.xml;snz52;output/1000-30-1000-30;1000;30;1000;30
snz53.sh;config_snz53.xml;snz53;output/1000-30-10-1000;1000;30;10;1000
snz54.sh;config_snz54.xml;snz54;output/1000-30-10-10;1000;30;10;10
snz55.sh;config_snz55.xml;snz55;output/1000-30-10-20;1000;30;10;20
snz56.sh;config_snz56.xml;snz56;output/1000-30-10-30;1000;30;10;30
snz57.sh;config_snz57.xml;snz57;output/1000-30-20-1000;1000;30;20;1000
snz58.sh;config_snz58.xml;snz58;output/1000-30-20-10;1000;30;20;10
snz59.sh;config_snz59.xml;snz59;output/1000-30-20-20;1000;30;20;20
snz60.sh;config_snz60.xml;snz60;output/1000-30-20-30;1000;30;20;30
snz61.sh;config_snz61.xml;snz61;output/1000-30-30-1000;1000;30;30;1000
snz62.sh;config_snz62.xml;snz62;output/1000-30-30-10;1000;30;30;10
snz63.sh;config_snz63.xml;snz63;output/1000-30-30-20;1000;30;30;20
snz64.sh;config_snz64.xml;snz64;output/1000-30-30-30;1000;30;30;30
snz65.sh;config_snz65.xml;snz65;output/10-1000-1000-1000;10;1000;1000;1000
snz66.sh;config_snz66.xml;snz66;output/10-1000-1000-10;10;1000;1000;10
snz67.sh;config_snz67.xml;snz67;output/10-1000-1000-20;10;1000;1000;20
snz68.sh;config_snz68.xml;snz68;output/10-1000-1000-30;10;1000;1000;30
snz69.sh;config_snz69.xml;snz69;output/10-1000-10-1000;10;1000;10;1000
snz70.sh;config_snz70.xml;snz70;output/10-1000-10-10;10;1000;10;10
snz71.sh;config_snz71.xml;snz71;output/10-1000-10-20;10;1000;10;20
snz72.sh;config_snz72.xml;snz72;output/10-1000-10-30;10;1000;10;30
snz73.sh;config_snz73.xml;snz73;output/10-1000-20-1000;10;1000;20;1000
snz74.sh;config_snz74.xml;snz74;output/10-1000-20-10;10;1000;20;10
snz75.sh;config_snz75.xml;snz75;output/10-1000-20-20;10;1000;20;20
snz76.sh;config_snz76.xml;snz76;output/10-1000-20-30;10;1000;20;30
snz77.sh;config_snz77.xml;snz77;output/10-1000-30-1000;10;1000;30;1000
