RunScript;Config;RunId;Output;remainingFractionWork;remainingFractionShopping;remainingFractionLeisure;remainingFractionOther;ReopenAfter
run.sh;config_sz1.xml;sz1;output/0.0-0.0-0.0-0.0-1000;0.0;0.0;0.0;0.0;1000
run.sh;config_sz2.xml;sz2;output/0.0-0.0-0.0-0.75-1000;0.0;0.0;0.0;0.75;1000
run.sh;config_sz3.xml;sz3;output/0.0-0.0-0.0-0.5-1000;0.0;0.0;0.0;0.5;1000
run.sh;config_sz4.xml;sz4;output/0.0-0.0-0.0-0.25-1000;0.0;0.0;0.0;0.25;1000
run.sh;config_sz5.xml;sz5;output/0.0-0.0-0.0-1.0-1000;0.0;0.0;0.0;1.0;1000
run.sh;config_sz6.xml;sz6;output/0.0-0.0-0.75-0.0-1000;0.0;0.0;0.75;0.0;1000
run.sh;config_sz7.xml;sz7;output/0.0-0.0-0.75-0.75-1000;0.0;0.0;0.75;0.75;1000
run.sh;config_sz8.xml;sz8;output/0.0-0.0-0.75-0.5-1000;0.0;0.0;0.75;0.5;1000
run.sh;config_sz9.xml;sz9;output/0.0-0.0-0.75-0.25-1000;0.0;0.0;0.75;0.25;1000
run.sh;config_sz10.xml;sz10;output/0.0-0.0-0.75-1.0-1000;0.0;0.0;0.75;1.0;1000
run.sh;config_sz11.xml;sz11;output/0.0-0.0-0.5-0.0-1000;0.0;0.0;0.5;0.0;1000
run.sh;config_sz12.xml;sz12;output/0.0-0.0-0.5-0.75-1000;0.0;0.0;0.5;0.75;1000
run.sh;config_sz13.xml;sz13;output/0.0-0.0-0.5-0.5-1000;0.0;0.0;0.5;0.5;1000
run.sh;config_sz14.xml;sz14;output/0.0-0.0-0.5-0.25-1000;0.0;0.0;0.5;0.25;1000
run.sh;config_sz15.xml;sz15;output/0.0-0.0-0.5-1.0-1000;0.0;0.0;0.5;1.0;1000
run.sh;config_sz16.xml;sz16;output/0.0-0.0-0.25-0.0-1000;0.0;0.0;0.25;0.0;1000
run.sh;config_sz17.xml;sz17;output/0.0-0.0-0.25-0.75-1000;0.0;0.0;0.25;0.75;1000
run.sh;config_sz18.xml;sz18;output/0.0-0.0-0.25-0.5-1000;0.0;0.0;0.25;0.5;1000
run.sh;config_sz19.xml;sz19;output/0.0-0.0-0.25-0.25-1000;0.0;0.0;0.25;0.25;1000
run.sh;config_sz20.xml;sz20;output/0.0-0.0-0.25-1.0-1000;0.0;0.0;0.25;1.0;1000
run.sh;config_sz21.xml;sz21;output/0.0-0.0-1.0-0.0-1000;0.0;0.0;1.0;0.0;1000
run.sh;config_sz22.xml;sz22;output/0.0-0.0-1.0-0.75-1000;0.0;0.0;1.0;0.75;1000
run.sh;config_sz23.xml;sz23;output/0.0-0.0-1.0-0.5-1000;0.0;0.0;1.0;0.5;1000
run.sh;config_sz24.xml;sz24;output/0.0-0.0-1.0-0.25-1000;0.0;0.0;1.0;0.25;1000
run.sh;config_sz25.xml;sz25;output/0.0-0.0-1.0-1.0-1000;0.0;0.0;1.0;1.0;1000
run.sh;config_sz26.xml;sz26;output/0.0-0.75-0.0-0.0-1000;0.0;0.75;0.0;0.0;1000
run.sh;config_sz27.xml;sz27;output/0.0-0.75-0.0-0.75-1000;0.0;0.75;0.0;0.75;1000
run.sh;config_sz28.xml;sz28;output/0.0-0.75-0.0-0.5-1000;0.0;0.75;0.0;0.5;1000
run.sh;config_sz29.xml;sz29;output/0.0-0.75-0.0-0.25-1000;0.0;0.75;0.0;0.25;1000
run.sh;config_sz30.xml;sz30;output/0.0-0.75-0.0-1.0-1000;0.0;0.75;0.0;1.0;1000
