RunScript;Config;RunId;Output;remainingFractionKiga;remainingFractionPrimary;remainingFractionSecondary;remainingFractionHigher;remainingFractionLeisure;remainingFractionWork;remainingFractionShopping;remainingFractionErrandsBusiness
run.sh;config_sz1.xml;sz0;output/0.0-1.0-1.0-1.0-0.4-0.4-0.4-0.4;1.0;1.0;1.0;1.0;0.4;0.4;0.4;0.4
run.sh;config_sz1.xml;sz1;output/1.0-1.0-1.0-1.0-0.4-0.4-0.4-0.4;1.0;1.0;1.0;1.0;0.4;0.4;0.4;0.4
run.sh;config_sz2.xml;sz2;output/1.0-1.0-1.0-1.0-0.4-0.4-0.4-0.2;1.0;1.0;1.0;1.0;0.4;0.4;0.4;0.2
run.sh;config_sz3.xml;sz3;output/1.0-1.0-1.0-1.0-0.4-0.4-0.2-0.4;1.0;1.0;1.0;1.0;0.4;0.4;0.2;0.4
run.sh;config_sz4.xml;sz4;output/1.0-1.0-1.0-1.0-0.4-0.4-0.2-0.2;1.0;1.0;1.0;1.0;0.4;0.4;0.2;0.2
run.sh;config_sz5.xml;sz5;output/1.0-1.0-1.0-1.0-0.4-0.2-0.4-0.4;1.0;1.0;1.0;1.0;0.4;0.2;0.4;0.4
run.sh;config_sz6.xml;sz6;output/1.0-1.0-1.0-1.0-0.4-0.2-0.4-0.2;1.0;1.0;1.0;1.0;0.4;0.2;0.4;0.2
run.sh;config_sz7.xml;sz7;output/1.0-1.0-1.0-1.0-0.4-0.2-0.2-0.4;1.0;1.0;1.0;1.0;0.4;0.2;0.2;0.4
run.sh;config_sz8.xml;sz8;output/1.0-1.0-1.0-1.0-0.4-0.2-0.2-0.2;1.0;1.0;1.0;1.0;0.4;0.2;0.2;0.2
run.sh;config_sz9.xml;sz9;output/1.0-1.0-1.0-1.0-0.2-0.4-0.4-0.4;1.0;1.0;1.0;1.0;0.2;0.4;0.4;0.4
run.sh;config_sz10.xml;sz10;output/1.0-1.0-1.0-1.0-0.2-0.4-0.4-0.2;1.0;1.0;1.0;1.0;0.2;0.4;0.4;0.2
run.sh;config_sz11.xml;sz11;output/1.0-1.0-1.0-1.0-0.2-0.4-0.2-0.4;1.0;1.0;1.0;1.0;0.2;0.4;0.2;0.4
run.sh;config_sz12.xml;sz12;output/1.0-1.0-1.0-1.0-0.2-0.4-0.2-0.2;1.0;1.0;1.0;1.0;0.2;0.4;0.2;0.2
run.sh;config_sz13.xml;sz13;output/1.0-1.0-1.0-1.0-0.2-0.2-0.4-0.4;1.0;1.0;1.0;1.0;0.2;0.2;0.4;0.4
run.sh;config_sz14.xml;sz14;output/1.0-1.0-1.0-1.0-0.2-0.2-0.4-0.2;1.0;1.0;1.0;1.0;0.2;0.2;0.4;0.2
run.sh;config_sz15.xml;sz15;output/1.0-1.0-1.0-1.0-0.2-0.2-0.2-0.4;1.0;1.0;1.0;1.0;0.2;0.2;0.2;0.4
run.sh;config_sz16.xml;sz16;output/1.0-1.0-1.0-1.0-0.2-0.2-0.2-0.2;1.0;1.0;1.0;1.0;0.2;0.2;0.2;0.2
