year,month,day,cases
2020,1,31,1
2020,2,19,1
2020,2,23,1
2020,2,24,1
2020,2,25,2
2020,2,26,2
2020,2,27,5
2020,2,28,7
2020,2,29,5
2020,3,1,13
2020,3,2,21
2020,3,3,20
2020,3,4,31
2020,3,5,25
2020,3,6,44
2020,3,7,38
2020,3,8,45
2020,3,9,89
2020,3,10,130
2020,3,11,141
2020,3,12,151
2020,3,13,191
2020,3,14,181
2020,3,15,191
2020,3,16,238
2020,3,17,209
2020,3,18,207
2020,3,19,178
2020,3,20,189
2020,3,21,147
2020,3,22,123
2020,3,23,187
2020,3,24,137
2020,3,25,141
2020,3,26,149
2020,3,27,138
2020,3,28,120
2020,3,29,94
2020,3,30,136
2020,3,31,95
2020,4,1,119
2020,4,2,122
2020,4,3,147
2020,4,4,88
2020,4,5,78
2020,4,6,126
2020,4,7,125
2020,4,8,89
2020,4,9,106
2020,4,10,81
2020,4,11,76
2020,4,12,60
2020,4,13,58
2020,4,14,70
2020,4,15,58
2020,4,16,60
2020,4,17,67
2020,4,18,48
2020,4,19,29
2020,4,20,30
2020,4,21,30
2020,4,22,45
2020,4,23,42
2020,4,24,34
2020,4,25,28
2020,4,26,13
2020,4,27,14
