year,month,day,cases
2020,1,20,1
2020,2,7,1
2020,2,9,1
2020,2,15,1
2020,2,16,4
2020,2,17,2
2020,2,18,1
2020,2,19,2
2020,2,20,9
2020,2,21,5
2020,2,22,10
2020,2,23,16
2020,2,24,27
2020,2,25,43
2020,2,26,65
2020,2,27,63
2020,2,28,63
2020,2,29,40
2020,3,1,44
2020,3,2,36
2020,3,3,40
2020,3,4,58
2020,3,5,31
2020,3,6,39
2020,3,7,34
2020,3,8,37
2020,3,9,49
2020,3,10,43
2020,3,11,49
2020,3,12,37
2020,3,13,56
2020,3,14,29
2020,3,15,22
2020,3,16,51
2020,3,17,38
2020,3,18,31
2020,3,19,48
2020,3,20,32
2020,3,21,43
2020,3,22,20
2020,3,23,31
2020,3,24,28
2020,3,25,37
2020,3,26,32
2020,3,27,28
2020,3,28,27
2020,3,29,6
2020,3,30,25
2020,3,31,23
2020,4,1,44
2020,4,2,17
2020,4,3,13
2020,4,4,9
2020,4,5,3
2020,4,6,13
2020,4,7,17
2020,4,8,20
2020,4,9,10
2020,4,10,5
2020,4,11,20
2020,4,12,18
2020,4,13,8
2020,4,14,11
2020,4,15,14
2020,4,16,9
2020,4,17,25
2020,4,18,2
2020,4,20,4
2020,4,22,1
2020,4,23,5
2020,4,24,5
2020,4,25,2
2020,4,27,10
