year,month,day,cases
2020,1,23,1
2020,1,31,1
2020,2,3,1
2020,2,4,1
2020,2,11,1
2020,2,15,3
2020,2,23,1
2020,2,24,2
2020,2,25,1
2020,2,26,3
2020,2,27,2
2020,2,28,3
2020,2,29,3
2020,3,1,4
2020,3,2,7
2020,3,3,11
2020,3,4,4
2020,3,5,6
2020,3,6,24
2020,3,7,13
2020,3,8,21
2020,3,9,53
2020,3,10,67
2020,3,11,57
2020,3,12,77
2020,3,13,113
2020,3,14,130
2020,3,15,108
2020,3,16,184
2020,3,17,221
2020,3,18,271
2020,3,19,196
2020,3,20,236
2020,3,21,170
2020,3,22,118
2020,3,23,159
2020,3,24,157
2020,3,25,250
2020,3,26,175
2020,3,27,235
2020,3,28,130
2020,3,29,136
2020,3,30,98
2020,3,31,191
2020,4,1,169
2020,4,2,108
2020,4,3,158
2020,4,4,117
2020,4,5,71
2020,4,6,103
2020,4,7,101
2020,4,8,112
2020,4,9,102
2020,4,10,47
2020,4,11,72
2020,4,12,49
2020,4,13,58
2020,4,14,66
2020,4,15,68
2020,4,16,59
2020,4,17,66
2020,4,18,33
2020,4,19,38
2020,4,20,34
2020,4,21,33
2020,4,22,44
2020,4,23,48
2020,4,24,40
2020,4,25,38
2020,4,26,16
2020,4,27,14
