Tag,Verstorben,Stationär,Genesen,Gesamt
07-03-20,0,0,0,44
08-03-20,0,0,0,50
09-03-20,0,0,0,50
10-03-20,0,0,0,58
11-03-20,0,0,0,88
12-03-20,0,0,0,110
13-03-20,0,0,0,149
14-03-20,0,0,0,201
15-03-20,0,0,0,242
16-03-20,0,0,0,260
17-03-20,0,0,0,359
18-03-20,0,0,0,509
19-03-20,0,0,0,676
20-03-20,0,0,0,878
21-03-20,0,0,0,1042
22-03-20,2,0,0,1316
23-03-20,2,0,0,1316
24-03-20,2,0,0,1381
25-03-20,2,0,0,1576
26-03-20,3,0,0,1687
27-03-20,3,0,0,1845
28-03-20,3,0,0,2080
29-03-20,3,0,250,2256
30-03-20,5,0,250,2501
31-03-20,5,145,283,2699
01-04-20,9,173,487,2926
02-04-20,9,192,645,3099
03-04-20,12,214,805,3304
04-04-20,12,260,929,3449
05-04-20,14,274,1103,3642
06-04-20,16,297,1240,3794
07-04-20,18,325,1384,3884
08-04-20,24,371,1577,4003
09-04-20,32,395,1739,4123
10-04-20,42,418,1920,4233
11-04-20,44,438,2043,4352
12-04-20,51,475,2110,4459
13-04-20,52,515,2240,4615
14-04-20,63,555,2363,4717
15-04-20,67,590,2640,4820
16-04-20,78,630,2655,4927
17-04-20,87,666,2801,5014
18-04-20,94,685,2969,5101
19-04-20,99,699,3044,5159
20-04-20,105,717,3236,5211
21-04-20,108,744,3430,5263
22-04-20,116,766,3650,5332
23-04-20,130,779,3858,5411
24-04-20,137,794,3858,5492
25-04-20,138,814,3858,5549
26-04-20,142,818,3858,5581

