id,x,y,infectedButNotContagious,contagious,showingSymptoms,seriouslySick,critical,recovered
91628201,4577805,5803232,25,29,31,0,0,41
91475101,4568961,5810063,26,30,0,0,0,42
84637601,4573728,5807607,33,37,39,0,0,49
82096301,4571303,5812727,21,25,27,41,32,44
78974401,4614523,5821608,17,21,0,0,0,33
78914201,4615719,5822307,21,25,27,0,0,37
74315401,4576617,5752101,0,0,0,0,0,0
68944801,4682302,5735518,33,37,0,0,0,49
68913201,4682671,5737482,0,0,0,0,0,0
55220701,4612848,5792892,33,37,39,0,0,49
51507701,4679257,5724320,45,49,51,0,0,61
482500301,4529474,5867333,53,57,0,0,0,69
471536501,4621601,5707226,0,0,0,0,0,0
463022301,4543234,5893798,33,37,39,0,0,49
460136401,4648652,5780018,33,37,39,0,0,49
454294501,4680087,5782429,29,33,35,0,0,45
450294101,4604017,5821832,25,29,31,0,0,41
440087701,4598855,5817927,21,25,27,0,0,37
429234901,4598799,5817856,21,25,27,0,0,37
421034801,4594996,5824054,0,0,0,0,0,0
413574401,4597293,5818349,21,25,27,31,0,44
405046701,4600656,5828060,17,21,23,0,0,33
399267601,4592231,5821637,0,0,0,0,0,0
377838101,4608355,5812198,0,0,0,0,0,0
349941501,4595721,5821910,25,29,31,0,0,41
345178101,4595065,5820293,21,25,27,0,0,37
302448101,4591793,5830558,21,25,27,31,0,44
300337001,4583500,5822102,21,25,0,0,0,37
295887901,4599075,5821714,0,0,0,0,0,0
281905601,4594427,5811774,0,0,0,0,0,0
271130401,4607566,5822362,0,0,0,0,0,0
270362501,4608971,5822006,25,29,31,35,0,48
264454301,4587176,5816785,21,25,27,0,0,37
26249301,4579448,5774739,0,0,0,0,0,0
261814701,4608199,5821912,21,25,27,0,0,37
254860401,4592900,5827320,21,25,27,0,0,37
244489401,4598860,5817507,22,26,0,0,0,38
24085501,4598159,5788508,29,33,35,0,0,45
22794101,4490705,5883331,0,0,0,0,0,0
216402301,4589511,5809444,21,25,27,31,0,44
209401601,4584793,5824538,0,0,0,0,0,0
188840801,4593536,5809855,0,0,0,0,0,0
174166801,4577499,5828867,0,0,0,0,0,0
173113101,4589666,5821364,0,0,0,0,0,0
170316401,4551727,5864592,41,45,47,0,0,57
163430301,4538597,5807699,33,37,39,0,0,49
162856101,4528113,5807278,28,32,34,0,0,44
160646701,4537010,5807071,26,30,32,0,0,42
158511201,4528113,5807278,29,33,35,0,0,45
145499601,4581934,5847381,0,0,0,0,0,0
134901401,4659609,5738243,0,0,0,0,0,0
134322801,4660148,5738364,30,34,36,40,0,53
133507901,4664035,5741121,33,37,39,43,0,56
133455401,4659233,5742201,32,36,38,0,0,48
132146501,4660538,5736111,29,33,35,0,0,45
131516001,4664650,5744176,41,45,47,0,0,57
131079101,4660579,5740334,0,0,0,0,0,0
129867601,4660603,5735285,0,0,0,0,0,0
121794701,4643834,5741871,0,0,0,0,0,0
113526201,4668672,5798672,22,26,0,0,0,38
113052201,4672514,5800236,21,25,27,0,0,37
470792801,4560169,5886950,0,0,0,0,0,0
76510101,4618237,5718520,41,45,0,0,0,57
294959901,4600648,5810759,0,0,0,0,0,0
352968401,4577006,5824012,29,33,35,0,0,45
221667601,4596797,5817506,21,25,27,0,0,37
104441901,4642488,5710688,0,0,0,0,0,0
95875101,4611122,5825424,29,33,35,0,0,45
94324001,4574914,5803509,0,0,0,0,0,0
56269801,4616533,5797776,25,29,31,0,0,41
102642901,4655695,5902390,28,32,0,0,0,44
308775301,4593969,5819941,0,0,0,0,0,0
342159901,4580718,5824171,21,25,27,0,0,37
112641901,4670513,5804440,13,17,0,0,0,29
12138001,4613120,5752511,0,0,0,0,0,0
480002501,4633122,5749435,38,42,0,0,0,54
283851001,4591196,5813912,0,0,0,0,0,0
403262501,4602072,5821309,0,0,0,0,0,0
10536701,4609649,5804900,18,22,24,0,0,34
163206201,4542698,5811544,29,33,35,0,0,45
64437801,4629797,5818105,0,0,0,0,0,0
69986101,4572796,5766312,26,30,32,0,0,42
220377001,4595411,5806582,17,21,23,0,0,33
37251801,4586758,5796441,0,0,0,0,0,0
153273201,4615397,5816217,0,0,0,0,0,0
128502001,4659013,5743083,27,31,33,0,0,43
170644801,4553867,5866140,0,0,0,0,0,0
78936501,4615988,5820968,26,30,0,0,0,42
230424101,4591552,5815780,21,25,27,0,0,37
445667901,4583521,5811044,0,0,0,0,0,0
468379801,4517461,5889492,53,57,59,0,0,69
389595001,4597248,5825057,0,0,0,0,0,0
428923101,4596985,5820034,0,0,0,0,0,0
410580401,4593090,5819292,17,21,23,0,0,33
84227901,4575098,5804282,21,25,0,0,0,37
188065901,4590716,5814934,0,0,0,0,0,0
404191701,4600629,5828721,20,24,26,0,0,36
398141501,4599895,5816210,25,29,31,0,0,41
391048101,4587170,5812830,21,25,27,0,0,37
113211001,4666609,5795915,25,29,31,0,0,41
286781901,4601170,5818993,0,0,0,0,0,0
328376201,4608268,5824959,25,29,31,0,0,41
390437601,4599811,5816189,22,26,28,0,0,38
8487701,4653490,5882794,9,13,15,0,0,25
446736601,4599477,5825299,0,0,0,0,0,0
14662501,4618241,5770816,25,29,31,0,0,41
454323401,4682169,5781233,0,0,0,0,0,0
107361901,4651348,5838830,25,29,31,0,0,41
55526201,4614758,5797304,29,33,0,0,0,45
135049101,4661179,5738481,0,0,0,0,0,0
85315501,4577805,5803232,25,29,31,0,0,41
101232301,4629949,5830672,33,37,39,0,0,49
472664301,4641589,5804530,29,33,35,0,0,45
164645601,4569950,5847596,37,41,43,0,0,53
39777101,4623201,5918059,26,30,32,0,0,42
264179101,4593914,5819896,21,25,27,0,0,37
47744601,4685711,5763328,33,37,39,0,0,49
435476201,4584267,5811307,0,0,0,0,0,0
134759101,4662881,5737668,0,0,0,0,0,0
130459701,4660812,5738814,37,41,43,0,0,53
455024601,4678936,5782289,37,41,43,0,0,53
465886301,4481776,5878588,0,0,0,0,0,0
351223301,4598584,5821969,25,29,31,0,0,41
177407401,4591290,5826721,0,0,0,0,0,0
262381001,4578065,5825572,25,29,31,35,0,48
208829801,4597104,5821227,0,0,0,0,0,0
167897001,4562234,5807568,0,0,0,0,0,0
127656701,4659090,5742436,38,42,44,0,0,54
37725201,4586401,5797584,26,30,32,0,0,42
410262601,4589274,5816979,21,25,27,0,0,37
87407301,4570064,5807078,25,29,31,0,0,41
274323001,4590227,5821823,19,23,25,0,0,35
487576901,4500090,5874119,0,0,0,0,0,0
448476301,4595826,5820230,0,0,0,0,0,0
135025601,4660687,5735417,0,0,0,0,0,0
7360401,4654231,5884370,21,25,27,0,0,37
266957101,4592915,5809882,25,29,31,0,0,41
110693201,4672408,5806331,0,0,0,0,0,0
130733701,4662176,5734432,0,0,0,0,0,0
53439801,4559853,5831307,0,0,0,0,0,0
469543001,4548303,5856783,0,0,0,0,0,0
153270801,4614707,5816157,0,0,0,0,0,0
77586301,4596603,5704977,0,0,0,0,0,0
129512701,4667067,5734851,45,49,51,0,0,61
122202001,4640209,5744371,38,42,44,0,0,54
359143101,4597899,5825357,0,0,0,0,0,0
430024901,4606296,5827634,0,0,0,0,0,0
15924501,4629092,5724777,45,49,51,0,0,61
86451901,4568961,5810063,26,30,0,0,0,42
248850001,4589703,5819545,0,0,0,0,0,0
138448701,4637742,5854652,0,0,0,0,0,0
278385301,4600629,5828721,17,21,23,27,0,40
27045201,4579998,5773136,29,33,35,0,0,45
74033801,4569574,5764338,0,0,0,0,0,0
64079201,4583123,5722079,0,0,0,0,0,0
373954001,4603426,5821089,17,21,23,0,0,33
436354401,4604773,5824612,0,0,0,0,0,0
24452301,4599970,5785493,25,29,31,0,0,41
357742701,4590636,5821756,21,25,27,0,0,37
489728001,4540375,5778482,0,0,0,0,0,0
15797401,4609726,5827554,29,33,0,0,0,45
47757201,4684073,5760809,34,38,40,0,0,50
144803401,4584019,5845556,21,25,27,0,0,37
463739701,4630248,5715646,53,57,59,0,0,69
198963101,4601997,5835980,0,0,0,0,0,0
422707701,4577475,5824656,17,21,23,0,0,33
147627601,4572736,5826118,33,37,39,0,0,49
142361201,4581367,5834958,17,21,23,0,0,33
316458601,4596110,5815021,25,29,31,0,0,41
117054201,4593116,5839423,29,33,35,0,0,45
92875301,4575582,5816201,0,0,0,0,0,0
94452401,4651512,5852620,25,29,0,0,0,41
160606901,4537447,5803955,26,30,32,0,0,42
135288501,4661577,5735019,0,0,0,0,0,0
68900401,4682302,5735518,33,37,0,0,0,49
488150001,4557074,5793069,0,0,0,0,0,0
31791701,4604415,5842178,0,0,0,0,0,0
113237701,4668775,5807133,25,29,31,0,0,41
445005701,4578932,5810203,25,29,31,0,0,41
159826601,4535631,5808997,25,29,0,0,0,41
2645701,4530673,5815255,0,0,0,0,0,0
93120501,4576362,5803716,22,26,28,0,0,38
131979701,4661818,5746077,33,37,39,53,44,56
446080201,4598610,5820547,0,0,0,0,0,0
293138801,4589802,5813114,0,0,0,0,0,0
44176501,4595381,5804702,0,0,0,0,0,0
234261201,4592544,5818791,0,0,0,0,0,0
175391201,4591148,5812181,0,0,0,0,0,0
158379901,4535077,5804908,25,29,31,0,0,41
108644301,4673042,5803309,0,0,0,0,0,0
460057001,4644609,5788266,0,0,0,0,0,0
95831701,4614079,5819606,21,25,27,0,0,37
92823901,4568911,5808016,25,29,0,0,0,41
235606301,4588609,5827228,0,0,0,0,0,0
30457601,4602661,5858207,13,17,19,0,0,29
152214301,4639171,5700016,33,37,0,0,0,49
