time	day	nSusceptible	nInfectedButNotContagious	nContagious	nShowingSymptoms	nSeriouslySick	nCritical	nTotalInfected	nInfectedCumulative	nRecovered	nInQuarantine	district
86400.0	1	4696700	1000	0	0	0	0	1000	1000	0	0	unknown
172800.0	2	4696700	1000	0	0	0	0	1000	1000	0	0	unknown
259200.0	3	4696700	1000	0	0	0	0	1000	1000	0	0	unknown
345600.0	4	4696700	0	1000	0	0	0	1000	1000	0	0	unknown
432000.0	5	4692400	4300	1000	0	0	0	5300	5300	0	0	unknown
518400.0	6	4692100	4600	100	900	0	0	5600	5600	0	900	unknown
604800.0	7	4692100	4600	100	900	0	0	5600	5600	0	900	unknown
691200.0	8	4692100	300	4400	900	0	0	5600	5600	0	900	unknown
777600.0	9	4673300	18800	4700	900	0	0	24400	24400	0	900	unknown
864000.0	10	4671100	21000	1000	4400	200	0	26600	26600	0	4600	unknown
950400.0	11	4671000	21100	700	4700	200	0	26700	26700	0	4900	unknown
1036800.0	12	4671000	2300	19500	4700	200	0	26700	26700	0	4900	unknown
1123200.0	13	4538600	132500	21700	4700	200	0	159100	159100	0	4900	unknown
1209600.0	14	4518700	152300	7000	19300	400	0	179000	179000	0	19700	unknown
1296000.0	15	4517600	153400	5100	21200	400	0	180100	180100	0	21600	unknown
1382400.0	16	4516600	22000	137400	20500	400	0	180300	181100	800	21600	unknown
1468800.0	17	3846800	671900	157300	20500	400	0	850100	850900	800	20900	unknown
1555200.0	18	3751300	766300	54100	124000	1200	0	945600	946400	800	125200	unknown
1641600.0	19	3740100	776500	39200	139800	1100	200	956800	957600	800	141100	unknown
1728000.0	20	3735700	111100	707700	137000	1100	200	957100	962000	4900	141800	unknown
1814400.0	21	2671600	1079700	802400	137500	1100	200	2020900	2026100	5200	139100	unknown
1900800.0	22	2560300	1179800	274000	670300	7900	200	2132200	2137400	5200	678400	unknown
1987200.0	23	2544200	1191500	199700	747900	6900	2100	2148100	2153500	5400	757100	unknown
2073600.0	24	2537100	134500	1251300	742300	6800	2300	2137200	2160600	23400	765400	unknown
2160000.0	25	1940100	620200	1358900	743900	6800	2300	2732100	2757600	25500	754800	unknown
2246400.0	26	1873000	671200	524300	1564800	36500	2300	2799100	2824700	25600	1603600	unknown
2332800.0	27	1863100	674000	441600	1649900	34000	9300	2808800	2834600	25800	1693400	unknown
2419200.0	28	1855200	84900	997300	1565300	33300	10300	2691100	2842500	151400	1706400	unknown
2505600.0	29	1600100	272900	1054700	1556200	33300	10300	2927400	3097600	170200	1614600	unknown
2592000.0	30	1551600	311500	589100	1985900	78100	10300	2974900	3146100	171200	2074900	unknown
2678400.0	31	1542900	312300	545200	2032500	69900	21900	2981800	3154800	173000	2125900	unknown
2764800.0	32	1536900	63200	661900	1530000	71000	21500	2347600	3160800	813200	2132500	unknown
2851200.0	33	1388500	163100	688400	1461000	71300	21400	2405200	3309200	904000	1627700	unknown
2937600.0	34	1343900	199000	490300	1633400	94800	21400	2438900	3353800	914900	1757800	unknown
3024000.0	35	1334700	202200	457700	1665000	83500	28500	2436900	3363000	926100	1787200	unknown
3110400.0	36	1330300	58200	385700	865400	89700	21900	1420900	3367400	1946500	1783900	unknown
3196800.0	37	1240800	103100	403600	784800	90600	21100	1403200	3456900	2053700	982200	unknown
3283200.0	38	1202700	132000	292100	879900	100700	21300	1426000	3495000	2069000	1014300	unknown
3369600.0	39	1196800	133500	260400	906600	71400	23400	1395300	3500900	2105600	1036600	unknown
3456000.0	40	1193400	47400	219800	463000	77900	12400	820500	3504300	2683800	1009600	unknown
3542400.0	41	1134100	68600	239000	417200	79300	10900	815000	3563600	2748600	556700	unknown
3628800.0	42	1110100	86700	170400	475900	86000	10800	829800	3587600	2757800	580200	unknown
3715200.0	43	1106400	87000	141200	498500	41700	12600	781000	3591300	2810300	602600	unknown
3801600.0	44	1104600	29500	145000	308500	44900	5900	533800	3593100	3059300	557300	unknown
3888000.0	45	1074400	35700	155700	275400	44700	5700	517200	3623300	3106100	361700	unknown
3974400.0	46	1064200	42200	111100	311600	48400	5400	518700	3633500	3114800	372300	unknown
4060800.0	47	1061800	42800	92700	323800	26500	6000	491800	3635900	3144100	384800	unknown
4147200.0	48	1061300	13100	89300	215200	25800	4500	347900	3636400	3288500	359300	unknown
4233600.0	49	1047300	16900	88200	184000	25900	3900	318900	3650400	3331500	246900	unknown
